      Time | hexA hexB hexSUM hexREF | decA decB decSUM decREF | CORRECT
  80570 ns |    4    6     0A     0A |    4    6     10     10 |      OK
  81370 ns |    5    6     0B     0B |    5    6     11     11 |      OK
  82170 ns |    6    6     0C     0C |    6    6     12     12 |      OK
  82970 ns |    7    6     0D     0D |    7    6     13     13 |      OK
  83770 ns |    8    6     0E     0E |    8    6     14     14 |      OK
  84570 ns |    9    6     0F     0F |    9    6     15     15 |      OK
  85370 ns |    A    6     10     10 |   10    6     16     16 |      OK
  86170 ns |    B    6     11     11 |   11    6     17     17 |      OK
  86970 ns |    C    6     12     12 |   12    6     18     18 |      OK
  87770 ns |    D    6     13     13 |   13    6     19     19 |      OK
  88570 ns |    E    6     14     14 |   14    6     20     20 |      OK
  89370 ns |    F    6     15     15 |   15    6     21     21 |      OK
  90170 ns |    0    7     07     07 |    0    7      7      7 |      OK
  90970 ns |    1    7     08     08 |    1    7      8      8 |      OK
  91770 ns |    2    7     09     09 |    2    7      9      9 |      OK
  92570 ns |    3    7     0A     0A |    3    7     10     10 |      OK
  93370 ns |    4    7     0B     0B |    4    7     11     11 |      OK
  94170 ns |    5    7     0C     0C |    5    7     12     12 |      OK
  94970 ns |    6    7     0D     0D |    6    7     13     13 |      OK
  95770 ns |    7    7     0E     0E |    7    7     14     14 |      OK
  96570 ns |    8    7     0F     0F |    8    7     15     15 |      OK
  97370 ns |    9    7     10     10 |    9    7     16     16 |      OK
  98170 ns |    A    7     11     11 |   10    7     17     17 |      OK
  98970 ns |    B    7     12     12 |   11    7     18     18 |      OK
  99770 ns |    C    7     13     13 |   12    7     19     19 |      OK
 100570 ns |    D    7     14     14 |   13    7     20     20 |      OK
 101370 ns |    E    7     15     15 |   14    7     21     21 |      OK
 102170 ns |    F    7     16     16 |   15    7     22     22 |      OK
 102970 ns |    0    8     08     08 |    0    8      8      8 |      OK
 103770 ns |    1    8     09     09 |    1    8      9      9 |      OK
 104570 ns |    2    8     0A     0A |    2    8     10     10 |      OK
 105370 ns |    3    8     0B     0B |    3    8     11     11 |      OK
 106170 ns |    4    8     0C     0C |    4    8     12     12 |      OK
 106970 ns |    5    8     0D     0D |    5    8     13     13 |      OK
 107770 ns |    6    8     0E     0E |    6    8     14     14 |      OK
 108570 ns |    7    8     0F     0F |    7    8     15     15 |      OK
 109370 ns |    8    8     10     10 |    8    8     16     16 |      OK
 110170 ns |    9    8     11     11 |    9    8     17     17 |      OK
 110970 ns |    A    8     12     12 |   10    8     18     18 |      OK
 111770 ns |    B    8     13     13 |   11    8     19     19 |      OK
 112570 ns |    C    8     14     14 |   12    8     20     20 |      OK
 113370 ns |    D    8     15     15 |   13    8     21     21 |      OK
 114170 ns |    E    8     16     16 |   14    8     22     22 |      OK
 114970 ns |    F    8     17     17 |   15    8     23     23 |      OK
 115770 ns |    0    9     09     09 |    0    9      9      9 |      OK
 116570 ns |    1    9     0A     0A |    1    9     10     10 |      OK
 117370 ns |    2    9     0B     0B |    2    9     11     11 |      OK
 118170 ns |    3    9     0C     0C |    3    9     12     12 |      OK
 118970 ns |    4    9     0D     0D |    4    9     13     13 |      OK
 119770 ns |    5    9     0E     0E |    5    9     14     14 |      OK
 120570 ns |    6    9     0F     0F |    6    9     15     15 |      OK
 121370 ns |    7    9     10     10 |    7    9     16     16 |      OK
 122170 ns |    8    9     11     11 |    8    9     17     17 |      OK
 122970 ns |    9    9     12     12 |    9    9     18     18 |      OK
